session_date,daily_pnl_usd,daily_trade_count,equity,peak_equity,drawdown_usd,drawdown_pct
2026-01-07,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-08,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-09,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-12,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-13,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-14,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-15,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-16,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-19,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-20,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-21,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-22,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-23,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-26,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-27,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-28,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-29,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-01-30,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-02,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-03,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-04,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-05,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-06,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-09,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-10,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-11,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-12,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-13,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-16,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-17,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-18,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-19,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-20,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-23,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-24,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-25,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-26,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-02-27,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-03-02,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-03-03,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-03-04,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-03-05,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-03-06,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-03-09,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-03-10,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-03-11,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-03-12,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-03-13,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-03-16,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-03-17,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-03-18,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
2026-03-19,0.0,0.0,54994.070000000014,54994.070000000014,0.0,0.0
